"변수","N","최솟값","최댓값","평균","표준편차","왜도","첨도"
"삶의 만족 (C_01)",1328,0,10,6.908,1.216,-0.712,1.317
"행복 (C_04)",1328,0,10,6.657,1.292,-0.86,1.291
