"b1_est","b1_p","b3_est","b3_p"
0.338098202844255,0,0.0821875111147899,0.0510171380986213
0.28104734279806,6.83897383169096e-14,0.101948010694178,0.0113823802504345
0.293127864446657,6.66133814775094e-16,0.0651860876926934,0.119803349807798
0.331337637085363,0,0.0576577407993711,0.163093014657687
0.283497108948932,1.95399252334028e-14,0.0732151997890983,0.0795849451902348
0.292975994940271,8.88178419700125e-16,0.112022648605984,0.00621116498855878
0.277096233074381,1.4210854715202e-13,0.0506802620496894,0.235911517493544
0.293928947839281,1.33226762955019e-14,0.07646133218568,0.0602579579125768
0.281512248995848,6.06181771445335e-14,0.0633252648638088,0.118513874609832
0.310279071953239,0,0.111992032051169,0.00732047945321579
0.304479254459029,4.44089209850063e-16,0.102068678425099,0.017652306597739
0.31810905824984,0,0.0815594733961821,0.0505443428570898
0.270931649260317,2.74225087082414e-13,0.0562362043420139,0.173804957992339
0.319799514335346,0,0.0310199875394561,0.455490213216181
0.247726524876581,1.00308428230278e-10,0.0902956043429837,0.0278543998875922
0.258340724172249,4.71045424887961e-12,0.14323652799547,0.00036939233941724
0.24627665028514,2.03009831167833e-10,0.124852924421959,0.00240007601257708
0.316054661328835,0,0.071488997884862,0.088931559998545
0.3032405498688,2.22044604925031e-16,0.0424398307398576,0.31930348787755
0.320706541555652,0,0.103486557000216,0.0113439140940841
0.338119219782077,0,0.0840876799270998,0.042916109746074
0.282071738185019,7.061018436616e-14,0.0250382968502339,0.543374905226365
0.325828377671457,0,0.101487006209139,0.0202923205076004
0.286790761926814,3.21964677141295e-14,0.0855696234994678,0.0372668959691653
0.316806560858989,0,0.100547628039418,0.0156648423223196
0.280534952234206,1.4521717162097e-13,0.0393215344904084,0.358747419575081
0.273656808490414,9.61453139325386e-14,0.0724948495297231,0.0697161369041619
0.288006379034216,3.70814490224802e-14,0.109722695186471,0.00986307182969903
0.286269583883325,6.88338275267597e-15,0.0460040108197508,0.261321887980158
0.25533867224046,1.07895914425171e-11,0.0521560107253748,0.208198580458494
0.265459455349017,3.84492437888184e-12,0.0869363676059963,0.0406865396458764
0.299265135144734,4.44089209850063e-16,0.0729427854574425,0.0729422977994316
0.312231113402791,0,0.0892274785094355,0.033760217045304
0.296191689074985,1.55431223447522e-15,0.090776276982418,0.0296971163839108
0.307005062414366,4.44089209850063e-16,0.113242392886082,0.00635170095150572
0.300558125772585,1.55431223447522e-15,0.0891861078027095,0.0292294045699029
0.293672635299913,2.88657986402541e-15,0.0711384476729753,0.0900940600697828
0.296324689262624,6.66133814775094e-16,0.0765997185108484,0.0673703202738694
0.29955245925608,8.88178419700125e-16,0.0901581940184286,0.0236252380370343
0.307099631134208,0,0.0719839476839042,0.0761668772820401
0.298839461556561,2.22044604925031e-16,0.0957217286281604,0.0207557327290329
0.29493414355933,1.33226762955019e-15,0.0696535818427811,0.0886047258822074
0.292920770201489,1.11022302462516e-15,0.0421674155534119,0.313063152698349
0.296956795211626,6.66133814775094e-16,0.0988712335055299,0.0177541910544412
0.263278935205138,3.11062287039476e-12,0.102644709789089,0.0133150177366637
0.318289540155189,0,0.101913780425213,0.0164237070456255
0.288497574656678,1.73194791841524e-14,0.0608600694850426,0.14418930269698
0.304700672544296,4.44089209850063e-16,0.0719561530762607,0.0815855210042939
0.306910447649966,2.22044604925031e-16,0.0869149447727249,0.0403423599454522
0.303849482802938,0,0.0723926064278521,0.08351686745327
0.284226448910128,6.59472476627343e-14,0.0387898197437221,0.359573237961573
0.258253001830415,6.98152646805283e-12,0.0672652597534504,0.10445509167683
0.29068464772963,4.66293670342566e-15,0.0381289561611499,0.364251720391492
0.282056141906543,6.10622663543836e-14,0.0692124835187873,0.0987332280033324
0.301875267122649,0,0.0321358565036549,0.445689583488714
0.328383320237022,0,0.089640890623006,0.0280731548285458
0.315659903162056,2.22044604925031e-16,0.0698831161126463,0.0970422310869816
0.230296977114273,3.28117710779452e-09,0.0856360201242729,0.0353851867698463
0.318095460093624,0,0.0631656541881429,0.135159442978774
0.318768256293805,0,0.127270948626288,0.00191317285777348
0.295164347162743,2.66453525910038e-15,0.0629635538498445,0.129019862370693
0.296573544960031,6.43929354282591e-15,0.0317283208468869,0.449085439900655
0.292094320252601,3.77475828372553e-15,0.0698095143022405,0.0890233200558501
0.265420533874006,2.11719530796017e-12,0.130664546428756,0.00129057638927055
0.314774182284806,0,0.0343770474900966,0.408884602243027
0.27923317621316,7.37188088351104e-14,0.124518936720584,0.00181197411420175
0.264297365293014,8.26450019530967e-13,0.0800606609155487,0.0550127360771357
0.297750193143807,6.66133814775094e-16,0.0819508840835863,0.0536617474269447
0.234585952937329,4.01103150693416e-10,0.0971492561315293,0.0160140794988399
